; Technical specification of configuration options
;
; tinyTwofish is highly configurable in its Flash/SRAM footprint; by altering options in
; 2fish_avr.cfg a desirable trade-off between footprint and efficiency can be selected.
;
; The list below shows all potentially useful combinations; sorted in order by:
;
; 1) KEY_SIZE
; 2) SRAM requirements
; 3) Program size
;
; All measurements were taken for the case STATIC=0
;
; SIZE  Actual footprint of code + tables (excl. alignment)
; ASIZE Minimum amount of flash necessary to load (incl. alignment)
; SRAM  Total amount of SRAM needed (.bss and stack)
; INIT	Cycles needed for one-time initialization
; KS    Cycles needed for keyscheduling
; EB    Cycles needed to encrypt one block
; KE    Cycles needed to keyschedule & encrypt one block

SIZE: 1158 	 ASIZE: 1536 	 SRAM: 37 	 INIT: 9 	 KS: 380 	 EB: 17429 KE: 17809 	  # KEY_SIZE=128 INLINE_round_g=0 UNROLL_round_h=0 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=1
SIZE: 1426 	 ASIZE: 1536 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 16691 KE: 17071 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=0 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=0 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=0
SIZE: 1434 	 ASIZE: 1536 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 15536 KE: 15916 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=0 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=0
SIZE: 1462 	 ASIZE: 1536 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 15517 KE: 15897 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=0 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=1
SIZE: 1490 	 ASIZE: 1536 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 13779 KE: 14159 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=1 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=0 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=0
SIZE: 1498 	 ASIZE: 1536 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 12624 KE: 13004 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=1 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=0
SIZE: 1526 	 ASIZE: 1536 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 12605 KE: 12985 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=1 UNROLL_round_g=1 UNROLL_keypair=0 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=1
SIZE: 1704 	 ASIZE: 2048 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 12244 KE: 12624 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=1 UNROLL_round_g=1 UNROLL_keypair=1 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=0
SIZE: 1732 	 ASIZE: 2048 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 12225 KE: 12605 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=1 UNROLL_round_g=1 UNROLL_keypair=1 UNROLL_enc=0 UNROLL_swap=1 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=1
SIZE: 2238 	 ASIZE: 2560 	 SRAM: 35 	 INIT: 9 	 KS: 380 	 EB: 12035 KE: 12415 	  # KEY_SIZE=128 INLINE_round_g=1 UNROLL_round_h=1 UNROLL_round_g=1 UNROLL_keypair=1 UNROLL_enc=1 UNROLL_swap=0 TAB_key=0 TAB_sbox=0 TAB_q=1 SRAM_q=0 UNROLL_whiten=1 INLINE_whiten=0
